epsilon,status,is_optimal,has_solution,runtime_sec,node_count,mip_gap,objective_return,realised_cvar,selected_count,selected_assets,M,T_days,n_assets_used_in_model
0.02289473684210526,OPTIMAL,True,True,0.21499991416931152,1.0,8.282680793954435e-06,0.2048634719309827,0.02274195815379767,7.0,"NVDA,AVGO,SMCI,ABBV,AGG,GLD,BTC-USD",40,1865,40
0.024736842105263154,OPTIMAL,True,True,0.125,1.0,0.0,0.21840597744228266,0.024666886131644156,7.0,"NVDA,AVGO,SMCI,ABBV,AGG,GLD,BTC-USD",40,1865,40
0.02657894736842105,OPTIMAL,True,True,0.10799980163574219,1.0,0.0,0.23137360563775894,0.026405226192608308,7.0,"NVDA,AVGO,SMCI,ABBV,AGG,GLD,BTC-USD",40,1865,40
0.028421052631578944,OPTIMAL,True,True,0.09999990463256836,1.0,0.0,0.24407714117545312,0.028341492212216463,7.0,"NVDA,AVGO,SMCI,ABBV,AGG,GLD,BTC-USD",40,1865,40
0.03026315789473684,OPTIMAL,True,True,0.10600018501281738,1.0,0.0,0.25654130298170286,0.030179787536626392,7.0,"NVDA,AVGO,SMCI,ABBV,AGG,GLD,BTC-USD",40,1865,40
0.032105263157894734,OPTIMAL,True,True,0.1919999122619629,1.0,9.567215396894078e-05,0.26875253963248963,0.032018298123214835,7.0,"NVDA,AVGO,SMCI,ABBV,AGG,GLD,BTC-USD",40,1865,40
0.03394736842105263,OPTIMAL,True,True,0.1659998893737793,1.0,0.0,0.2788690594116967,0.033854118345635606,7.0,"NVDA,AVGO,SMCI,ABBV,MS,AGG,BTC-USD",40,1865,40
0.035789473684210524,OPTIMAL,True,True,0.10800004005432129,1.0,0.0,0.2841300454713902,0.03568880394029422,6.0,"NVDA,SMCI,ABBV,MS,AGG,BTC-USD",40,1865,40
0.03763157894736842,OPTIMAL,True,True,0.10800004005432129,1.0,0.0,0.2877502069000006,0.0375207013306065,6.0,"NVDA,SMCI,ABBV,MS,AGG,BTC-USD",40,1865,40
0.039473684210526314,OPTIMAL,True,True,0.1100001335144043,1.0,5.982246464527917e-06,0.29095390403577415,0.039359265838867334,5.0,"NVDA,SMCI,MS,AGG,BTC-USD",40,1865,40
0.04131578947368421,OPTIMAL,True,True,0.10800004005432129,1.0,0.0,0.2915945922126989,0.04119250512742361,6.0,"NVDA,SMCI,MS,AGG,BTC-USD,ETH-USD",40,1865,40
0.0431578947368421,OPTIMAL,True,True,0.10800004005432129,1.0,0.0,0.2920183920303171,0.04303835063340372,5.0,"NVDA,SMCI,MS,AGG,ETH-USD",40,1865,40
0.045,OPTIMAL,True,True,0.10699987411499023,1.0,0.0,0.29211235880647834,0.04487390392424796,5.0,"NVDA,SMCI,MS,AGG,ETH-USD",40,1865,40
