M,epsilon_points,feasible_points,optimal_points,total_runtime_sec,median_runtime_sec,max_runtime_sec,total_nodes,median_nodes,max_mip_gap,median_mip_gap,best_return,lowest_cvar
20,20,17,17,1.8930001258850098,0.07500004768371582,0.2089998722076416,20.0,1.0,1.1338724227416433e-05,0.0,0.2772463545029895,0.015487226231399028
40,20,20,20,3.477999687194824,0.1294999122619629,0.7079999446868896,71.0,1.0,9.567215396894078e-05,0.0,0.29211235880647834,0.009975979103467434
60,20,20,20,4.644999742507935,0.14599990844726562,0.5910000801086426,24.0,1.0,6.98290695863597e-05,0.0,0.32144648150987626,0.009975422901503514
80,20,20,20,5.9040000438690186,0.23399996757507324,0.49200010299682617,20.0,1.0,8.741076524131249e-05,1.993761130573486e-06,0.35360054453234835,0.009939113605149147
100,20,20,20,7.652000188827515,0.3080000877380371,0.625,20.0,1.0,9.232460411304146e-05,0.0,0.3695473680337461,0.009972552708297312
