Date,AAPL,ABBV,ABT,AES,AGG,AMD,AMZN,AVGO,BA,BAC,BKNG,BMY,BNB-USD,BND,BSX,BTC-USD,C,CCL,CMCSA,CMG,CSCO,CSX,CVS,CVX,DAL,DBC,DOC,EEM,ETH-USD,EXC,F,FAST,FCX,GE,GILD,GLD,GM,GOOG,GOOGL,HAL,HBAN,HPE,HST,HYG,INTC,IWM,JNJ,JPM,KEY,KHC,KIM,KLAC,KMI,KO,KR,LQD,LRCX,LUV,MDLZ,META,MO,MOS,MRK,MS,MSFT,MU,NCLH,NEE,NEM,NFLX,NVDA,OXY,PCG,PDBC,PFE,PG,PPL,PYPL,QQQ,RF,RTX,SCHD,SHY,SLB,SMCI,SOL-USD,SPY,T,TIP,TLT,TSLA,UAL,VNQ,VTRS,VZ,WFC,WMT,WY,XOM,XYZ
2020-04-10,64.69371032714844,62.004940032958984,76.84443664550781,11.638230323791504,97.9178237915039,48.380001068115234,102.13800048828125,22.167919158935547,151.83999633789062,21.360918045043945,55.643611907958984,46.72484588623047,13.737724304199219,72.60873413085938,36.83000183105469,6865.4931640625,37.992897033691406,12.287590980529785,29.932037353515625,15.420000076293945,34.57659149169922,19.626741409301758,49.33627700805664,64.04887390136719,23.600645065307617,10.058794975280762,20.208860397338867,30.79401206970215,158.41244506835938,22.304868698120117,3.9806630611419678,14.357261657714844,7.629322528839111,34.595680236816406,58.130558013916016,158.69000244140625,23.108936309814453,60.04311752319336,59.798255920410156,7.367101192474365,6.80442476272583,8.707035064697266,9.381007194519043,59.169464111328125,50.650943756103516,114.67567443847656,118.72966766357422,87.71212768554688,8.881011009216309,20.757110595703125,8.383209228515625,14.004904747009277,10.630611419677734,40.576839447021484,27.2089900970459,105.46480560302734,24.157548904418945,33.63863754272461,44.626773834228516,173.6649627685547,25.242589950561523,11.363436698913574,64.6816635131836,33.852500915527344,156.52853393554688,44.98999786376953,13.109999656677246,52.402225494384766,48.0132942199707,37.071998596191406,6.540453910827637,14.309493064880371,11.784393310546875,6.130075931549072,24.70669174194336,97.8875503540039,20.777236938476562,104.9312515258789,193.772216796875,8.532303810119629,55.938316345214844,13.029232025146484,75.10895538330078,14.349653244018555,2.1480000019073486,0.9510539770126343,255.0758056640625,15.475284576416016,97.59321594238281,137.3975372314453,38.20000076293945,31.5,62.158592224121094,12.937609672546387,40.33675765991211,28.445655822753906,37.32701110839844,16.783447265625,32.67123031616211,59.209999084472656
2020-04-11,64.69371032714844,62.004940032958984,76.84443664550781,11.638230323791504,97.9178237915039,48.380001068115234,102.13800048828125,22.167919158935547,151.83999633789062,21.360918045043945,55.643611907958984,46.72484588623047,13.804287910461426,72.60873413085938,36.83000183105469,6859.0830078125,37.992897033691406,12.287590980529785,29.932037353515625,15.420000076293945,34.57659149169922,19.626741409301758,49.33627700805664,64.04887390136719,23.600645065307617,10.058794975280762,20.208860397338867,30.79401206970215,158.2160186767578,22.304868698120117,3.9806630611419678,14.357261657714844,7.629322528839111,34.595680236816406,58.130558013916016,158.69000244140625,23.108936309814453,60.04311752319336,59.798255920410156,7.367101192474365,6.80442476272583,8.707035064697266,9.381007194519043,59.169464111328125,50.650943756103516,114.67567443847656,118.72966766357422,87.71212768554688,8.881011009216309,20.757110595703125,8.383209228515625,14.004904747009277,10.630611419677734,40.576839447021484,27.2089900970459,105.46480560302734,24.157548904418945,33.63863754272461,44.626773834228516,173.6649627685547,25.242589950561523,11.363436698913574,64.6816635131836,33.852500915527344,156.52853393554688,44.98999786376953,13.109999656677246,52.402225494384766,48.0132942199707,37.071998596191406,6.540453910827637,14.309493064880371,11.784393310546875,6.130075931549072,24.70669174194336,97.8875503540039,20.777236938476562,104.9312515258789,193.772216796875,8.532303810119629,55.938316345214844,13.029232025146484,75.10895538330078,14.349653244018555,2.1480000019073486,0.7768189907073975,255.0758056640625,15.475284576416016,97.59321594238281,137.3975372314453,38.20000076293945,31.5,62.158592224121094,12.937609672546387,40.33675765991211,28.445655822753906,37.32701110839844,16.783447265625,32.67123031616211,59.209999084472656
2020-04-12,64.69371032714844,62.004940032958984,76.84443664550781,11.638230323791504,97.9178237915039,48.380001068115234,102.13800048828125,22.167919158935547,151.83999633789062,21.360918045043945,55.643611907958984,46.72484588623047,14.375110626220703,72.60873413085938,36.83000183105469,6971.091796875,37.992897033691406,12.287590980529785,29.932037353515625,15.420000076293945,34.57659149169922,19.626741409301758,49.33627700805664,64.04887390136719,23.600645065307617,10.058794975280762,20.208860397338867,30.79401206970215,161.14242553710938,22.304868698120117,3.9806630611419678,14.357261657714844,7.629322528839111,34.595680236816406,58.130558013916016,158.69000244140625,23.108936309814453,60.04311752319336,59.798255920410156,7.367101192474365,6.80442476272583,8.707035064697266,9.381007194519043,59.169464111328125,50.650943756103516,114.67567443847656,118.72966766357422,87.71212768554688,8.881011009216309,20.757110595703125,8.383209228515625,14.004904747009277,10.630611419677734,40.576839447021484,27.2089900970459,105.46480560302734,24.157548904418945,33.63863754272461,44.626773834228516,173.6649627685547,25.242589950561523,11.363436698913574,64.6816635131836,33.852500915527344,156.52853393554688,44.98999786376953,13.109999656677246,52.402225494384766,48.0132942199707,37.071998596191406,6.540453910827637,14.309493064880371,11.784393310546875,6.130075931549072,24.70669174194336,97.8875503540039,20.777236938476562,104.9312515258789,193.772216796875,8.532303810119629,55.938316345214844,13.029232025146484,75.10895538330078,14.349653244018555,2.1480000019073486,0.8825070261955261,255.0758056640625,15.475284576416016,97.59321594238281,137.3975372314453,38.20000076293945,31.5,62.158592224121094,12.937609672546387,40.33675765991211,28.445655822753906,37.32701110839844,16.783447265625,32.67123031616211,59.209999084472656
2020-04-13,65.96350860595703,62.432559967041016,76.67474365234375,11.21919059753418,97.45848846435547,50.939998626708984,108.44349670410156,22.65782356262207,147.3300018310547,20.553218841552734,55.658111572265625,46.732784271240234,15.03442668914795,72.37631225585938,35.209999084472656,6845.03759765625,37.407894134521484,11.377399444580078,29.294010162353516,14.881600379943848,34.59336853027344,18.881534576416016,48.10428237915039,64.50469207763672,22.497539520263672,10.23282241821289,19.139604568481445,30.837568283081055,156.27955627441406,21.507246017456055,3.8249948024749756,13.780753135681152,7.731792449951172,34.01425552368164,59.530250549316406,161.41000366210938,22.100439071655273,60.345947265625,59.98856735229492,7.044063568115234,6.570829391479492,8.56646728515625,8.987177848815918,58.32173156738281,52.033782958984375,111.57057189941406,117.50225830078125,83.81132507324219,8.548251152038574,20.624191284179688,8.174015998840332,14.188688278198242,10.346853256225586,38.862674713134766,27.445510864257812,104.4407958984375,24.204315185546875,31.600208282470703,44.35393524169922,173.26846313476562,24.952585220336914,10.688815116882324,63.152626037597656,32.61639404296875,156.8792724609375,45.02900695800781,11.359999656677246,50.46449279785156,50.074241638183594,39.672000885009766,6.712080001831055,14.281543731689453,11.401082992553711,6.231400012969971,24.53215217590332,98.98883819580078,20.154701232910156,105.0700454711914,195.8656768798828,8.268816947937012,53.448707580566406,12.898193359375,75.11764526367188,13.896595001220703,2.128999948501587,0.7778319716453552,252.74691772460938,15.203346252441406,97.76991271972656,136.1431121826172,43.39666748046875,28.90999984741211,59.543373107910156,12.921518325805664,39.796024322509766,26.929122924804688,38.39962387084961,16.0565128326416,32.39095687866211,59.41999816894531
2020-04-14,69.29488372802734,64.80772399902344,79.9483642578125,11.076873779296875,97.50861358642578,54.93000030517578,114.16600036621094,23.32992172241211,141.0,20.389965057373047,56.77086639404297,47.62112045288086,15.525075912475586,72.37631225585938,35.91999816894531,6842.427734375,36.39817428588867,12.376632690429688,30.341630935668945,15.706600189208984,35.90256881713867,19.179000854492188,50.2255859375,64.27678680419922,23.745792388916016,10.145809173583984,19.48889923095703,31.543170928955078,157.5963897705078,22.259286880493164,3.921360731124878,14.750147819519043,7.750422954559326,33.578155517578125,61.483489990234375,162.67999267578125,22.071624755859375,62.9068717956543,62.70547866821289,6.846649646759033,6.3296966552734375,8.56646728515625,9.010807037353516,58.56597900390625,53.771202087402344,113.8321762084961,122.76496124267578,81.51525115966797,8.237674713134766,21.008174896240234,8.313477516174316,15.088017463684082,10.464508056640625,40.51059341430664,28.111284255981445,103.9288101196289,25.488515853881836,32.079837799072266,46.47698211669922,176.6190185546875,25.989194869995117,10.671290397644043,64.95610046386719,32.847129821777344,164.64219665527344,46.443172454833984,12.350000381469727,51.78266906738281,50.17476272583008,41.35499954223633,7.0627946853637695,13.880952835083008,11.754907608032227,6.211134910583496,25.439725875854492,103.26600646972656,20.637165069580078,108.8423843383789,204.38406372070312,7.842588901519775,56.249507904052734,13.261897087097168,75.11764526367188,13.539382934570312,2.190000057220459,0.6619250178337097,260.2012023925781,15.67672348022461,98.05900573730469,136.10987854003906,47.32600021362305,30.899999618530273,61.21332931518555,13.154848098754883,40.82831954956055,25.858131408691406,39.53354263305664,16.2402400970459,32.14098358154297,62.40999984741211
2020-04-15,68.66240692138672,64.5631103515625,81.5627670288086,10.03322982788086,97.90948486328125,54.9900016784668,115.38400268554688,22.441635131835938,145.97999572753906,19.06671905517578,55.799110412597656,47.16109085083008,14.593927383422852,72.73320770263672,34.790000915527344,6642.10986328125,34.34667205810547,12.248018264770508,29.27037811279297,15.402000427246094,34.84514617919922,18.672996520996094,49.40970230102539,62.66624450683594,23.561939239501953,9.936975479125977,18.177284240722656,30.7330379486084,153.28689575195312,21.0970401763916,3.7286293506622314,14.758687019348145,7.14492130279541,31.494674682617188,59.016239166259766,161.85000610351562,20.803802490234375,62.57182312011719,62.312461853027344,6.23646354675293,5.824828147888184,7.871889114379883,8.87690544128418,58.01998519897461,52.184478759765625,109.1884536743164,124.1352767944336,77.49498748779297,7.623916149139404,20.71280288696289,7.523191928863525,14.294109344482422,9.931595802307129,39.425785064697266,28.05872344970703,104.62481689453125,24.581249237060547,30.272008895874023,45.79488754272461,175.429443359375,25.242589950561523,9.961624145507812,64.35234069824219,31.644004821777344,162.91709899902344,45.28258514404297,12.079999923706055,50.68026351928711,48.775672912597656,42.67499923706055,6.985438346862793,12.679180145263672,11.116055488586426,6.074347972869873,25.11160659790039,103.48796844482422,19.656665802001953,107.02313232421875,202.03981018066406,7.199372291564941,53.88093566894531,12.890168190002441,75.1436538696289,12.833662033081055,2.1610000133514404,0.646651029586792,254.67245483398438,15.152990341186523,98.16336059570312,139.7152862548828,48.65533447265625,31.860000610351562,58.78717041015625,12.43877124786377,39.97862243652344,24.36730194091797,39.45998001098633,15.273656845092773,30.663835525512695,61.380001068115234
2020-04-16,69.20796203613281,64.59466552734375,86.10099792480469,9.614192008972168,98.03474426269531,56.95000076293945,120.40950012207031,22.51573371887207,134.24000549316406,18.405101776123047,55.125030517578125,47.24040603637695,15.702730178833008,72.77471923828125,35.45000076293945,7116.80419921875,32.47146224975586,11.723669052124023,29.798120498657227,15.734999656677246,34.82835388183594,18.596336364746094,51.041465759277344,60.76704025268555,22.042757034301758,9.910871505737305,17.635530471801758,30.898548126220703,172.15737915039062,21.136926651000977,3.6619129180908203,15.130215644836426,7.061082363128662,30.234886169433594,60.526641845703125,161.7100067138672,20.045032501220703,62.62138748168945,62.318904876708984,5.985210418701172,5.410384654998779,7.70651388168335,8.664237022399902,57.96249771118164,53.88642501831055,108.3635025024414,125.82508087158203,74.54165649414062,7.202416896820068,21.584144592285156,6.570204257965088,14.614096641540527,9.765490531921387,39.00345993041992,27.988645553588867,104.10476684570312,25.32015609741211,28.298147201538086,45.55614471435547,174.71571350097656,24.927906036376953,9.48851203918457,65.08155822753906,31.611042022705078,167.8080291748047,44.404815673828125,11.350000381469727,50.735809326171875,50.18314743041992,43.91699981689453,7.33018159866333,11.365612983703613,10.939142227172852,6.038885116577148,25.048768997192383,103.72698974609375,19.68001365661621,107.38003540039062,205.7249755859375,6.858389377593994,53.98467254638672,12.940979957580566,75.16102600097656,12.241202354431152,2.1600000858306885,0.6908159852027893,255.90101623535156,15.188237190246582,97.31219482421875,141.30203247070312,49.680667877197266,28.209999084472656,58.11760711669922,12.470954895019531,40.49125671386719,23.03926658630371,40.554046630859375,15.153831481933594,29.656356811523438,57.31999969482422
2020-04-17,68.26890563964844,65.84931182861328,86.1099853515625,10.373204231262207,97.9178237915039,56.599998474121094,118.75,23.177366256713867,154.0,20.003305435180664,57.611019134521484,48.06528854370117,15.735082626342773,72.67510986328125,38.290000915527344,7096.1845703125,36.42220687866211,12.42609977722168,29.99504852294922,16.405399322509766,35.65081024169922,19.249536514282227,51.69416809082031,66.2215576171875,23.484527587890625,9.954378128051758,18.719038009643555,31.586734771728516,171.63858032226562,21.900362014770508,3.7953433990478516,15.343738555908203,7.769054412841797,33.1420783996582,66.41797637939453,158.57000732421875,21.591388702392578,63.601741790771484,63.3879280090332,6.801782608032227,6.073495388031006,8.028996467590332,8.955671310424805,58.25703430175781,53.5052604675293,113.13700103759766,127.80065155029297,81.24211883544922,7.993649482727051,21.657983779907227,6.911110877990723,15.039504051208496,10.360692977905273,39.79843521118164,27.97112274169922,104.44879150390625,26.097412109375,28.768550872802734,45.59877014160156,177.6796875,25.20556640625,10.031717300415039,65.4422607421875,32.212615966796875,169.2866668701172,44.57063293457031,12.380000114440918,52.6115837097168,49.6218376159668,42.29600143432617,7.270983695983887,12.697813034057617,11.214340209960938,6.064216136932373,25.76784324645996,106.45036315917969,20.5360050201416,110.88964080810547,207.69302368164062,7.377614498138428,57.11396026611328,13.34480094909668,75.13499450683594,13.312854766845703,2.177000045776367,0.6607279777526855,262.81439208984375,15.727079391479492,96.846435546875,139.4078826904297,50.259334564208984,29.079999923706055,59.95299530029297,12.961747169494629,41.05303955078125,24.31589126586914,40.48969268798828,16.0565128326416,32.73939895629883,61.09000015258789
2020-04-18,68.26890563964844,65.84931182861328,86.1099853515625,10.373204231262207,97.9178237915039,56.599998474121094,118.75,23.177366256713867,154.0,20.003305435180664,57.611019134521484,48.06528854370117,16.593172073364258,72.67510986328125,38.290000915527344,7257.6650390625,36.42220687866211,12.42609977722168,29.99504852294922,16.405399322509766,35.65081024169922,19.249536514282227,51.69416809082031,66.2215576171875,23.484527587890625,9.954378128051758,18.719038009643555,31.586734771728516,186.91400146484375,21.900362014770508,3.7953433990478516,15.343738555908203,7.769054412841797,33.1420783996582,66.41797637939453,158.57000732421875,21.591388702392578,63.601741790771484,63.3879280090332,6.801782608032227,6.073495388031006,8.028996467590332,8.955671310424805,58.25703430175781,53.5052604675293,113.13700103759766,127.80065155029297,81.24211883544922,7.993649482727051,21.657983779907227,6.911110877990723,15.039504051208496,10.360692977905273,39.79843521118164,27.97112274169922,104.44879150390625,26.097412109375,28.768550872802734,45.59877014160156,177.6796875,25.20556640625,10.031717300415039,65.4422607421875,32.212615966796875,169.2866668701172,44.57063293457031,12.380000114440918,52.6115837097168,49.6218376159668,42.29600143432617,7.270983695983887,12.697813034057617,11.214340209960938,6.064216136932373,25.76784324645996,106.45036315917969,20.5360050201416,110.88964080810547,207.69302368164062,7.377614498138428,57.11396026611328,13.34480094909668,75.13499450683594,13.312854766845703,2.177000045776367,0.6810960173606873,262.81439208984375,15.727079391479492,96.846435546875,139.4078826904297,50.259334564208984,29.079999923706055,59.95299530029297,12.961747169494629,41.05303955078125,24.31589126586914,40.48969268798828,16.0565128326416,32.73939895629883,61.09000015258789
2020-04-19,68.26890563964844,65.84931182861328,86.1099853515625,10.373204231262207,97.9178237915039,56.599998474121094,118.75,23.177366256713867,154.0,20.003305435180664,57.611019134521484,48.06528854370117,16.13993263244629,72.67510986328125,38.290000915527344,7189.4248046875,36.42220687866211,12.42609977722168,29.99504852294922,16.405399322509766,35.65081024169922,19.249536514282227,51.69416809082031,66.2215576171875,23.484527587890625,9.954378128051758,18.719038009643555,31.586734771728516,181.61495971679688,21.900362014770508,3.7953433990478516,15.343738555908203,7.769054412841797,33.1420783996582,66.41797637939453,158.57000732421875,21.591388702392578,63.601741790771484,63.3879280090332,6.801782608032227,6.073495388031006,8.028996467590332,8.955671310424805,58.25703430175781,53.5052604675293,113.13700103759766,127.80065155029297,81.24211883544922,7.993649482727051,21.657983779907227,6.911110877990723,15.039504051208496,10.360692977905273,39.79843521118164,27.97112274169922,104.44879150390625,26.097412109375,28.768550872802734,45.59877014160156,177.6796875,25.20556640625,10.031717300415039,65.4422607421875,32.212615966796875,169.2866668701172,44.57063293457031,12.380000114440918,52.6115837097168,49.6218376159668,42.29600143432617,7.270983695983887,12.697813034057617,11.214340209960938,6.064216136932373,25.76784324645996,106.45036315917969,20.5360050201416,110.88964080810547,207.69302368164062,7.377614498138428,57.11396026611328,13.34480094909668,75.13499450683594,13.312854766845703,2.177000045776367,0.6069689989089966,262.81439208984375,15.727079391479492,96.846435546875,139.4078826904297,50.259334564208984,29.079999923706055,59.95299530029297,12.961747169494629,41.05303955078125,24.31589126586914,40.48969268798828,16.0565128326416,32.73939895629883,61.09000015258789
